raw_received_timestamp_ms,feature_extraction_timestamp_ms,model_prediction_timestamp_ms,pair_seq,predicted_activity,risk_status,alert_triggered,risky_counter,sensor1_neutral_ax,sensor1_neutral_ay,sensor1_neutral_az,sensor2_neutral_ax,sensor2_neutral_ay,sensor2_neutral_az
79356,79356,79357,2550,sitting,Safe,No,0,,,,,,
79648,79649,79650,2562,sitting,Safe,No,0,,,,,,
79817,79817,79818,2574,sitting,Safe,No,0,,,,,,
80098,80099,80099,2586,sitting,Safe,No,0,,,,,,
80301,80301,80301,2598,sitting,Safe,No,0,,,,,,
80469,80470,80470,2610,sitting,Safe,No,0,,,,,,
80773,80773,80774,2622,sitting,Safe,No,0,,,,,,
80976,80976,80976,2634,sitting,Safe,No,0,,,,,,
81358,81359,81359,2646,sitting,Safe,No,0,,,,,,
81595,81595,81595,2658,sitting,Safe,No,0,,,,,,
81909,81910,81910,2670,sitting,Safe,No,0,,,,,,
82416,82416,82417,2682,sitting,Safe,No,0,,,,,,
82720,82720,82720,2694,sitting,Safe,No,0,,,,,,
83316,83316,83316,2706,sitting,Safe,No,0,,,,,,
83698,83698,83699,2718,sitting,Safe,No,0,,,,,,
84092,84092,84093,2730,sitting,Safe,No,0,,,,,,
84632,84632,84633,2742,sitting,Safe,No,0,,,,,,
85161,85161,85162,2754,sitting,Safe,No,0,,,,,,
85993,85993,85994,2766,sitting,Safe,No,0,,,,,,
86443,86443,86444,2778,sitting,Safe,No,0,,,,,,
86769,86769,86770,2790,sitting,Safe,No,0,,,,,,
87613,87613,87614,2802,sitting,Safe,No,0,,,,,,
88311,88311,88311,2814,sitting,Safe,No,0,,,,,,
89188,89188,89189,2826,sitting,Safe,No,0,,,,,,
89627,89627,89628,2838,sitting,Safe,No,0,,,,,,
90021,90021,90022,2850,sitting,Safe,No,0,,,,,,
90437,90437,90438,2862,sitting,Safe,No,0,,,,,,
90785,90786,90787,2874,sitting,Safe,No,0,,,,,,
91224,91225,91225,2886,sitting,Safe,No,0,,,,,,
91573,91573,91574,2898,sitting,Safe,No,0,,,,,,
92034,92034,92035,2910,sitting,Safe,No,0,,,,,,
92507,92507,92508,2922,sitting,Safe,No,0,,,,,,
92732,92732,92733,2934,sitting,Safe,No,0,,,,,,
93114,93115,93115,2946,sitting,Safe,No,0,,,,,,
93463,93463,93464,2958,sitting,Safe,No,0,,,,,,
93744,93745,93745,2970,sitting,Safe,No,0,,,,,,
94149,94149,94150,2982,sitting,Safe,No,0,,,,,,
94565,94566,94566,2994,sitting,Safe,No,0,,,,,,
95522,95522,95523,3006,sitting,Safe,No,0,,,,,,
96017,96017,96018,3018,sitting,Safe,No,0,,,,,,
96354,96354,96355,3030,sitting,Safe,No,0,,,,,,
96861,96861,96861,3042,sitting,Safe,No,0,,,,,,
97153,97153,97154,3054,sitting,Safe,No,0,,,,,,
97535,97536,97536,3066,sitting,Safe,No,0,,,,,,
97806,97806,97806,3078,sitting,Safe,No,0,,,,,,
98143,98143,98144,3090,shoulder_adduction,Risky,No,1,,,,,,
98683,98683,98684,3102,sitting,Safe,No,0,,,,,,
98976,98976,98976,3114,shoulder_adduction,Risky,No,1,,,,,,
99302,99302,99302,3126,sitting,Safe,No,0,,,,,,
99572,99572,99572,3138,sitting,Safe,No,0,,,,,,
99808,99808,99809,3150,sitting,Safe,No,0,,,,,,
100258,100258,100259,3162,sitting,Safe,No,0,,,,,,
100505,100506,100506,3174,sitting,Safe,No,0,,,,,,
100832,100832,100833,3186,sitting,Safe,No,0,,,,,,
101169,101169,101170,3198,sitting,Safe,No,0,,,,,,
101372,101372,101373,3210,sitting,Safe,No,0,,,,,,
101766,101766,101766,3222,sitting,Safe,No,0,,,,,,
101957,101957,101957,3234,shoulder_adduction,Risky,No,1,,,,,,
102250,102250,102250,3246,shoulder_adduction,Risky,No,2,,,,,,
102553,102553,102554,3258,shoulder_adduction,Risky,Yes,3,,,,,,
102823,102823,102824,3270,shoulder_adduction,Risky,Yes,4,,,,,,
103217,103217,103217,3282,shoulder_adduction,Risky,Yes,5,,,,,,
103485,103485,103486,3294,shoulder_adduction,Risky,Yes,6,,,,,,
103959,103959,103960,3306,sitting,Safe,No,0,,,,,,
104139,104139,104140,3318,sitting,Safe,No,0,,,,,,
104432,104432,104433,3330,sitting,Safe,No,0,,,,,,
104781,104781,104781,3342,shoulder_adduction,Risky,No,1,,,,,,
105152,105152,105153,3354,shoulder_adduction,Risky,No,2,,,,,,
105636,105636,105636,3366,sitting,Safe,No,0,,,,,,
105883,105883,105884,3378,shoulder_adduction,Risky,No,1,,,,,,
106108,106108,106109,3390,shoulder_adduction,Risky,No,2,,,,,,
106479,106479,106480,3402,sitting,Safe,No,0,,,,,,
106760,106760,106761,3414,sitting,Safe,No,0,,,,,,
107548,107548,107549,3426,sitting,Safe,No,0,,,,,,
107897,107897,107897,3438,sitting,Safe,No,0,,,,,,
108347,108347,108348,3450,sitting,Safe,No,0,,,,,,
108954,108954,108955,3462,sitting,Safe,No,0,,,,,,
109202,109202,109203,3474,sitting,Safe,No,0,,,,,,
109685,109685,109686,3486,sitting,Safe,No,0,,,,,,
110034,110034,110035,3498,sitting,Safe,No,0,,,,,,
110653,110653,110654,3510,sitting,Safe,No,0,,,,,,
111227,111227,111227,3522,sitting,Safe,No,0,,,,,,
111857,111857,111858,3534,sitting,Safe,No,0,,,,,,
112576,112577,112577,3546,sitting,Safe,No,0,,,,,,
113049,113049,113050,3558,sitting,Safe,No,0,,,,,,
113296,113297,113297,3570,sitting,Safe,No,0,,,,,,
113578,113578,113579,3582,sitting,Safe,No,0,,,,,,
113747,113747,113748,3594,sitting,Safe,No,0,,,,,,
114028,114028,114029,3606,sitting,Safe,No,0,,,,,,
114219,114219,114220,3618,sitting,Safe,No,0,,,,,,
114399,114400,114400,3630,sitting,Safe,No,0,,,,,,
114658,114658,114658,3642,sitting,Safe,No,0,,,,,,
114827,114827,114828,3654,sitting,Safe,No,0,,,,,,
115063,115063,115064,3666,sitting,Safe,No,0,,,,,,
115243,115243,115244,3678,sitting,Safe,No,0,,,,,,
115411,115412,115412,3690,elbow_flexion,Risky,No,1,,,,,,
